Designator,MidX,MidY,Layer,Rotation
C1,148.230000,-7.000000,bottom,270.000000
C2,149.300000,-34.075000,bottom,180.000000
C3,125.300000,-12.250000,bottom,270.000000
C4,141.250000,0.000000,bottom,90.000000
D1,125.300000,-7.912500,bottom,90.000000
D2,123.825000,-0.675000,bottom,0.000000
D4,163.512500,-39.687500,bottom,0.000000
D5,9.525000,-8.525000,bottom,270.000000
D6,47.625000,-8.525000,bottom,270.000000
D7,85.725000,-8.525000,bottom,270.000000
D8,104.775000,1.587500,bottom,270.000000
D9,161.925000,1.587500,bottom,270.000000
D10,9.525000,-24.475000,bottom,270.000000
D11,47.625000,-24.460000,bottom,270.000000
D12,85.725000,-24.460000,bottom,270.000000
D13,123.825000,-24.460000,bottom,270.000000
D14,161.925000,-16.510000,bottom,270.000000
D15,9.525000,-42.656250,bottom,270.000000
D16,47.625000,-42.656250,bottom,270.000000
D17,85.725000,-42.656250,bottom,270.000000
D18,123.825000,-42.656250,bottom,270.000000
D19,142.875000,-47.625000,bottom,90.000000
D20,23.812500,-54.768750,bottom,270.000000
D21,95.250000,-54.768750,bottom,270.000000
D22,147.637500,-54.768750,bottom,270.000000
F1,126.325000,-4.000000,bottom,180.000000
Q1,140.000000,-4.950000,bottom,180.000000
R1,119.500000,-4.000000,bottom,180.000000
R2,127.725000,-7.200000,bottom,270.000000
R3,147.500000,-3.500000,bottom,180.000000
R5,119.500000,-6.250000,bottom,0.000000
R6,144.500000,0.000000,bottom,90.000000
R7,150.430000,-7.000000,bottom,90.000000
R8,152.630000,-7.000000,bottom,270.000000
R9,163.512500,-42.068750,bottom,0.000000
SW37,176.150000,-7.000000,bottom,270.000000
SW41,136.000000,-43.500000,bottom,180.000000
U1,136.150000,-6.850000,bottom,180.000000
U2,143.750000,-5.100000,bottom,90.000000
USB1,123.570000,11.670000,bottom,0.000000
BT1,142.875000,-11.811000,Bottom,180.000000